"title","text"
"StAS.1.1.108.P.Ayrshire.Ballantrae","      statistical account  mands of the mercantile and manufacturing towns through lanark, renfrew, and airshires.     the wool of the sheep on those farms that lie between the tops of the mountains and the sea is generally very good, and of the short carding wool; what is beyond them is more coarse and shaggy.  it sells from 7 s. 6 d. to 10 s. 6 d. per stone of 17 lb.  scots weight, equal to 25 1/2 lb.  english weight; the average price through the whole be- ing 9 s. for 25 1/2 lb. which is nearly 4 1/4 per lb.  this shews the propriety of the farmers paying more attention to their wool than is generally done; and it is believed that there are few situations more favourable to an improvement in that article than the first mentioned class of farms in this parish.  both the soil and the climate are favourable.  the  soil is light, dry, and kindly, affording firm footing, a dry bed, and proper nourishment to the sheep; the cool re- freshing breezes from the sea during the summer, prevent the  bad effects of immoderate heat upon the new shorn wool; and the ground during the winter season is very seldom en- tirely covered with snow above two days together.  if the  farmers would take the trouble to introduce, from time to time, some good wooled rams, and gradually cut off any coarse wooled ewes that may be in their flocks, it is possible to improve their wool to such a degree, as that instead of the very best of it being now sold at 10 s. o d. it might be sold at nearly three times the price.  this would nearly double the profits of their sheep on the whole, and at al- most no trouble nor expence; and it is perhaps the most be- neficial of all improvements that they ever have it in their  power to make upon their farms.  "
"StAS.1.1.109.P.Ayrshire.Ballantrae","      of ballantrae.     roads.-till of late years there were few roads through the shire of air that were barely passable.  about the year 1774 an act of parliament was obtained, commuting the statute la- bour for an annual payment, at the rate of 25 s. for every l. 100 scots of valued rent.  through the interior, more populous, and arable parts of the country the roads were soon made; and by the assistance of government and a toll, one good road has been made through this parish:  but it is little more than a road of communication.  the parish wants cross roads in different directions, in order to enable them to lead lime in carts, of which there is plenty within half a  mile of the extremity of the parish:  it is sold at the mode- rate price of 7 1/2 d. a boll or 2 winchester bushels, and 70 or so of these bolls are found perfectly sufficient for an acre of this thin, light, dry soil.  some small experiments have been made in liming, which have succeeded to the utmost expec- tation.  there are perhaps from 10 to 12,000 acres of land  in the parish that could be limed, and made fit for sock and  scythe; and the successful attempts of individuals, it is to be hoped, will in time encourage the generality to follow the example.     fisheries.-a pretty considerable river, named ardstinchar, runs for about 25 miles through the country, and empties it- self into the sea at the village of ballantrae; but it is rapid and shallow, and can only admit of small boats.  at the  mouth of this river there is a considerable salmon fishery, which yields a rent of above l. 80 a year.  the salmon are thought as good as any in scotland, and sell upon the spot at 1 1/2 d. the lb. and it is but very lately they were more than 1 d.  about 20 years ago there were great shoals of excel- lent herrings that came upon the coast at the end of harvest and beginning of winter, since that time they appear only in  "
"StAS.1.1.11.C.NullCounty.Contents_and_Misc"," <table=contents.>  no.                                     page         1. parish of jedburgh                     1  2.           hollywood                   18  3.           portpatrick                 37  4.           hounam                      48  5.           kirkmichael                 54  6.           sprouston                   65  7.           longformacus                69  8.           lauder                      72  9.           ayton                       79 10.           air                         89 11.           carriden                    97 12.           coylton                    101 13.           ballantrae*                103 14.           terregles                  114 15.           edrom                      116 16.           innerwick                  121 17.           linton (in peebleshire)    126 18.           newlands                   148 19.           kirkmaiden                 153 20.           tinwald                    159 21.           crossmichael               167 22.           parton                     184 23.           covington                  190  </table>  <footnote>  *it may be proper to remark, that, by some mistake, it was omitted to be mentioned, that the account of ballantrae was transmitted by the rev. mr william donaldson, minister of that parish, who took a very early and active part in this inquiry.  "
"StAS.1.1.11.P.Roxburgh.Jedburgh","      of jedburgh.  maintenance of its inhabitants, is raised within the bounds of this parish. there may, perhaps, be some doubt with respect to wheat, but it is certain that oats, and oat-meal, are ex- ported in considerable quantities to lothian and tweedale.     orchards.-a great quantity of pears grow in the gardens or orchards of the town of jedburgh. the trees, though very old, are remarkably fruitful; and it is calculated that the value of the fruit amounts, at a medium, to about l. 300 per annum.     ecclesiastical state of the parish.-there are four clergymen in the town of jedburgh; the minister of the established church, of the relief congregation, of the burgher, and the  antiburgher, seceders.  their respective examination rolls are as follows:  established church 800; relief congregation 1200; burgher congregation 600; antiburgher 150.  total 2750 examinable persons; that is, persons from six to seven years old, and upwards.  in order to account for the great pro- portion of dissenters, it must be observed, that the sect called the relief congregation had its origin in jedburgh.  in the year 1755, the council, and the generality of the inhabitants of the town, applied for a presentation to mr boston, mini- ster of oxnam, and being disappointed in that application, built a large meeting-house, by contribution, and invited mr boston to be their minister; several of the most substantial members of the congregation binding themselves to pay him l. 120 per annum.  he accepted of their call; and prevailed upon mr gillespie, who had been deposed for disobedience to the orders of the general assembly, to join him, under the denomination of the presbytery of relief; prosessing to differ from the established church upon no other point, than the right of patrons to appoint ministers against the inclina-  "
"StAS.1.1.110.P.Ayrshire.Ballantrae","      statistical account  the spring, about a league off; and though they are then far from being good, they are sold to the country people in the neighbourhood from 20 d. to 2 s. a hundred.  there were formerly great quantities of haddocks and whitings at the  same season, but for a few years past the prevailing fishery is  cod, with some skate and ling.  the cod and ling is sold from 4 d. or 6 d.; the skate from 1 d. to 1 s. a piece, accor- ding to their size and qualities; smaller fish, as haddocks, etc. from 6 d. to 1 s. a dozen.     price of provisions.-though the price of provisions is greatly increased within these 20 years, it cannot yet be said to be high.  beef, mutton, lamb, and pork, (of which last there is a great deal more reared than used in the parish) formerly sold at 2 s. or 3 s. a stone, now sells at 3 s. or 4 s. a stone; hens 6 d.; chickens 2 d.; eggs 2 d. a dozen; skim- med mile chesse 4 s. a stone, scots weight (24 oz. to the lb(; butter 10 s. 8 d ditto, of which there is not a great deal sold, as the practice of smearing their sheep with tar and butter before the winter sets in universally prevails over all the country.     church.-the living of ballantrae is l. 500 scots of mo- ney and three chalders of victual, with a house and glebe worth l. 12 or l. 14 sterling yearly.  the present incum- bent was ordained in 1771, and is the third minister from the revolution.  his two predecessors each enjoyed the office about 40 years.  he is married, and has a son and a daughter.  the church is at the north-west extremity of the parish, in the village of ballantrae, it was built in 1604, and the manse in 1736, and the repairs upon the manse and offi- ces since that time has cost the heritors little more than l. 20 sterling.  "
"StAS.1.1.111.P.Ayrshire.Ballantrae","      of ballantrae.     poor.-there is an excellent establishment of a free school at ballantrae, for educating the poor.  a native of the pa- rish, about 40 or 50 years ago, left l. 400, the interest of which sum was appointed to run on, till there was a suffi- cient sum to build a school-house, and a dwelling-house for the master, and from henceforward to pay the schoolmaster; and whoever should be appointed to the office, was to be bound to keep and leave the school and house in repair.  ac- cordingly a good house was built, and a large garden set off. the patron of the parish is patron of the school; and by the deed he is entitled to present two-thirds of the scholars, and the kirk-session the other third.  the matter of this school is also chosen parish schoolmaster, the salary of which is a- bout l. 6 sterling a year:  he is also the session clerk and precentor for the time.  all which offices, and the perqui- sites of them, together with the value of the house and gar- den, makes the place worth rather more than l. 40 ster- ling yearly.  the consequence of this is, that there is gene- rally a well qualified schoolmaster, who is able to teach the languages, and the several branches of education fitting for business.  from the nature of the school, and its situation in a country place, the number of the scholars varies according to the season of the year.  in summer, when many of the poor scholars and country lads retire to herding and laborious work, the number of scholars do not exceed 25 or 30.  in winter there are frequently upwards of 5o attending the school.     antiquities.-the only ruins within parish in the re- mains of an old church at the north-east extremity of the parish; it seems to have been formerly the parish church, and deserted for the present one, as being more commodious for the inhabitants, it is called kirkcudbright.  and a large  "
"StAS.1.1.112.P.Ayrshire.Ballantrae","      statistical account  old castle or dwelling adjoining to the village, and situated upon a high rock; it is now within the minister's grass glebe. about a century ago it belonged to the lords of bargeny. there are no vestiges about it to discover when it was built, or by whom inhabited.  the minister has been told, that the present lord hailes takes notice of it in some of his tracts upon antiquities.     miscellaneous observations.-the inhabitants labour under disadvantages.  their situation might be meliorated.  for the common occasions of life there are weavers, tailors, shoe- makers. etc.  there is no manufactures in the parish to in- crease the capital stock and promote circulation.  manufac- tures in carpeting, stockings, bonnets, and sheep skins might probably be established with advantage.  they have plenty of peat and turf for fuel; but coals are at the distance of 15 or 16 miles by land, and when brought by sea are subject to a duty of 3 s. 4 d. a ton.  the circumstances of the people have been increasing since the year 1782.  that season of scarcity, instead of affecting them in the manner it did other parts of scotland, rather tended to better them.  there was an excessive growth of grass in the summer of that year, and the crops in this parish and to the southward are in general early.  that year they were reaped before the frost and the snow set in.  the great plenty of hay made the cattle sell to advantage, and the almost entire loss of the crops in the in- land counties, occasioned the inhabitants of these counties to come to the south and west for seed for the ensuing season. this gave them an idea of a corn trade, which, together with the increasing demand for live cattle since that period, and consequent rise in their price, has made a great alteration for the better in the farmers circumstances, and given a spirit of  "
"StAS.1.1.113.P.Ayrshire.Ballantrae","      of ballantrae.  improvement and demand for farms in a tenfold degree to  what it used to be.      the shores abound with plenty of fine broad leaved rich sea-weed or wreck for manure; but there is very little of it used for kelp on the coast of this parish.  the animals are those common to the west of scotland, hares, foxes, rab- bits, polecats, wild cats, grouse, partridges, plovers, wild ducks, and wild geese.  the migratory kind observed are the woodcock, cuckoo, starling, swallow, etc.  among the mi- gratory animals may be mentioned the sailfish, which appears upon this coast the first or second week of june, and conti- nues for three or four weeks.  they measure from 20 to 30 feet long.  the people of the village kill them with har- poons for the oil, which is made of the liver.  the liver of a good fish will yield from 40 to 50 gallons of oil, which they fell to tanners, etc. and use part of it themselves to burn in place of candles.     there are several mineral springs in the parish, which have been found beneficial in scorbutic and other cutaneous disea- ses, and in complaints of the stomach arising from acidity and want of digestion.     there is no person in the parish connected with the law, not even a constable or sheriff's officer, nor has there been any in the memory of the oldest inhabitant.  there is no justice of peace in the parish, nor within many miles of it; and the sherrif's court is at the distance of 36 miles.  there is no surgeon or physician within a dozen miles, and it is doubtful whether half a dozen such parishes would give bread to one.       vol. i. p "
"StAS.1.1.115.P.Kirkcudbright.Terregles","      of terregles.     there are several seceders, and a few roman catholics. none of the inhabitants have emigrated, nor have any been banished from it, in the memory of man.     church and stipend.-the church is of the gothic stile, and was built above 200 years ago.  the value of the stipend, including the glebe, is between l. 65 and l. 70 per annum, according to the rise or fall in the price of victual, part of it being paid in meal and barley.  the duke of queensberry is patron.     miscellaneous observations.-as this parish lies near the town of dumfries, living is very expensive.  fuel is extreme- ly dear.  coal is brought by land 27 or 28 miles; and the price of coal transported by sea is as dear as what is brought by land.  peat, too, is at a great distance.  the expences of living are nearly double what they were formerly.   the wa- ges of domestic servants and day-labourers are also consi- derably raised.  there is a salmon-fishery on the side of the river nith, opposite to the foot of the parish, from which the minister of terregles draws tithe in money.  there is an old ruin in this parish called the college of lincluden. "
"StAS.1.1.116.P.Berwick.Edrom","      statistical account       number xv.       parish of edrom.       by the rev. mr william redpath.       name, situation, surface, and air.     the antient name of this parish was etherham, derived from ether, the original name of whitewater, and ham, a village on its bank.  edron is situated in berwick- shire, presbytery of chirnside, and synod of merse and tiviot- dale.  it is about 10 english miles long and 6 broad.  it is bounded by the parishes of dunse, langton, polworth, fog- go, swinton, whitsome, hilton, chirnside, preston, and bunkle.  the appearance of the country is flat, except to- wards the lammermuir or cheviot hills.  a great part of the soil is fertile, and produces good corn when well culti- vated; part moorish and barren; and part clay or shallow. formerly the air was moist, but it is now considerably dryer, on account  of the inclosing and draining every part of the country.  lakes and pools of water are drained, and corn made to grow where the water stood.  the air is salubrious. the best proof of this is the longevity of the inhabitants. several in the parish have attained to 70, 80, and 90 years of age.  the fevers, consumptions, and agues, which formerly prevailed here, were thought to have been owing to the moisture of the country.  since it was drained and inclosed,  "
"StAS.1.1.117.P.Berwick.Edrom","      of edrom.  fevers and agues have ceased very much, and instead of ap- pearing every year, only come once in four or five years.     population.-the population of this parish is believed to have been much less 50 years ago than it is at present.  agri- culture was not then in that flourishing state in which it now is; and manufacture have only begun within these 15 or 20 years.  from the decreet of locality for stipend in the year 1733, it appears that the number of catechisable per- sons were near 800; and the whole, at that time, might amount to more than 900, or near 1000.  about 13 years ago, they amounted to 1200 souls.  the following table will give some idea of the population of this parish in 1700:  <table>  souls                               1336 males                                613 females                              723 annual average of births              40 annual average of deaths              10 annual average of marriages           12 heritors                               9 farmers                               38 mechanics                             34 inhabited houses                     211 persons in a family at an average      6  </table>     the number of horses in the parish is about 280, of sheep 3000, and of black cattle 600.     manufactures.-there is a paper-mill, a lint-mill, and a wheel-wright manufacture.  fifty-five persons are employed in the paper-mill, 5 in the lint-mill, and about 5 or 6 in the wheel-wright manufactory.  the wages paid per day in the first  "
"StAS.1.1.118.P.Berwick.Edrom","      statistical account  is l. 2: 15: 0.  the value of the paper made yearly amounts to l. 5000 sterling.  when the wheel manufacture was carried on by james small, 15 journeymen were employed. he introduced one of the best ploughs made in scotland.  a variety of useful manufactures, especially linen and woollen, a cotton-mill, stocking manufacture, and bleachfield, might be established.  there is abundance of fine sheep for wool, and a lint-mill is an encouragement to grow flax.  there is plenty of fine water and corn to support manufactures.  four hundred persons might be employed by a linen and cotton- mill.     wages, prices, and poor.-a labourer's wages is 10 d. or 1 s. per day; masons and carpenters 1 s. 6 d.; taylors 6 d. and their meat.  the usual wages of male servants employed in husbandry is 50 s. or l. 3 per half year, with their board; of female servants 30 or 40 shillings.  all butcher's meat, through the greatest part of the year, is 3 1/2 d. and 4 d. per pound; butter 8 d.; cheese 3 1/2 d. if scotch; english is 5 d. and 6 d.; wheat generally 30 shillings per boll, oats are 12, 14, 15, and 16 shillings per boll, berwickshire measure; bar- ley is 16, 18, and often 20 shillings per boll.  the number of poor in this parish receiving alms is 12.  the annual as- sessment laid on the heritors, tenants, and mechanics, for their maintenance, is l. 10.  several of the poor are like- wise assisted by the weekly collections, kirk-session fund, hearse and mortcloth money.     rent of land.-the best arable ground is 15 and 20 shil- lings, and the best pasture 25 and 30 shillings per acre.  the rent of several farms is l. 300, l. 400, l. 500, and l. 600 per annum; but there are more at l. 100, l. 50, l. 30, and l. 20.  the rent of the whole lands of the parish is about   "
"StAS.1.1.119.P.Berwick.Edrom","      of edrom.  l. 6493 sterling per annum.  from a decreet of locality ob- tained in 1733, it appears that the rent amounted then only to l. 2000 sterling yearly.  one of the heritors marled and inclosed his whole estate, and the rent rofe from l. 500 to l. 1500 a year.  another marled the whole of his land, inclosed it with stone dykes, and the rent rofe from l. 500 to l. 1200 or l. 1300 per annum.  every estate, within these 20 years, has risen in proportion.  almost the whole of the parish is inclosed.     church and stipend.-the church was built in 1732, and has been well repaired since the present incumbent was set- tled.  the spirit of making churches neat and decent has spread to the neighbouring parishes.  the stipend, including the glebe, is about l. 110 sterling per annum.  the crown is patron.     mineral springs and rivers.-there is one remarkable mi- neral spring, called dunje well, in the estate of nisbet.  it appears, that a number of gentry and nobility formerly re- sorted to this water; but it is fallen into disrepute.  there are two rivers in the parish, viz. whitewater and blackwater, commonly pronounced whitadder and blakadder.  white- water rises in the lammermuir hills, near the confines of lothian, runs near 30 or 40 miles, and discharges itself into the tweed about 2 miles from berwick.  it abounds with  small trout.  a great number of salmon come up and spawn in it.  blackwater rises likewise in lammermuir, above green- law, and after a course of about 16 or 18 miles, falls into the whitewater, at a village called allantown, in this parish.  it is celebrated for as fine trout as any in scotland.     roads.-the roads are tolerably good.  they have been  "
"StAS.1.1.12.C.NullCounty.Contents_and_Misc"," <table>  no.                                  page 24. parish of troquire                194 25.           muiravonside            200 26.           penpont                 203 27.           cramond                 211 28.           dalmeny                 227 29.           sorbie                  242 30.           kiltearn                259 31.           rothsay                 301 32.           kingarth                308 33.           houston and kilallan    315 34.           biggar                  332 35.           dunsyre                 337 36.           yester                  342 37.           bathgate                348 38.           stranraer               357 39.           kettle                  369 40.           delting                 385 41.           kilrennie               409 42.           arngask                 414 43.           dunnichen               419 44.           carmylie                435 45.           panbride                438 46.           lunan                   441 47.           auchterderran           449 48.           kinloss                 462 49.           oathlaw                 465 50.           gamrie                  469 51.           gask                    479 52.           lismore and appin       482 53.           meigle                  503  </table>  "
"StAS.1.1.12.P.Roxburgh.Jedburgh","      statistical account  tions of the people.  this sect, more accommodating to the spirit of the times, have quickly spread over scotland, and, probably, comprehend the greatest part of the scotch dissenters.  near a half of all the families in the parish of jedburgh, and a great proportion of the families in all the surrounding parishes, are members of this congregation. there are not more than five or six who prosess the episeo- pal religion, and there are no catholics, in the parish.     the present incumbent, dr. thomas somerville, was ad- mitted minister of jedburgh in 1773.  his predesessors were messrs semple, m'kay, ruet, winchester, douglas, and m'knight, which last he succeeded in the charge.  he has been married twenty years, and has two sons and four daughters. the king is patron of the parish.  the living consists of 169 bolls, half oat-meal and half barley, linlithgow measure; l. 44 in money, a manse, and a glebe of seven english acres, in all amounting to about l. 150 per annum in value.  a part of the old abbey church is still used as the place of wor- ship.  the manse was built about 60 years ago, and has of- ten been repaired at a great expence.     state of the poor.-the number of poor upon the country roll of the parish amounts to 55, and of those in the town roll to 37.  they are maintained by assessments.  for sup- porting the county poor, a tax is laid upon the different pro- prietors of land, in proportion to the valued rents.  the common method of proceeding in this business is as follows: the minister intimates from the pulpit, that on such a day a meeting of the heritors and elders is to be held, for the pur- pose of making a provision for the maintenance of the poor for the ensuing quarter.  these meetings generally take place near the term of candlemas, whitsunday, lammas, and  "
"StAS.1.1.121.P.Haddington.Innerwick","      of innerwick.       number xvi.       parish of innerwick.       by the rev. mr john harvie.       situation, extent, soil, and surface.     this parish is in the county of haddington, presbytery of dunbar, and synod of lothian and tweeddale.  it extends from the sea, on the north, about 12 miles south- wards.  on the coast, it is not above 2 miles broad, but gra- dually swells towards the south, and in some places may be 5 or 6 miles broad.  it is bounded on the west by the parishes of spott and dunbar; on the south by cranshaws and longformacus; on the east by oldhamstocks; and on the  north by the sea.  the face of the country is level, and the soil rich.  from the church towards the south the parish is billy; and the hills partly green and partly heath.  in many places on the coast, the soil is rather light and gravelly.  the shore is rocky.     cultivation and produce.-that part of the parish which is between the high lands and the sea is perhaps about 2000 or 3000 acres, and is employed in raising corn, grass, and turnip.  there is very of it in pasture.  there are 56       vol. i. q  "
